id,name_ko,name_en,category,difficulty,ingredients,ingredients_en,steps,steps_en,kcal,protein,fat,carbs,benefits,benefits_en
27,계란 샐러드,Salad Egg,메인,보통,계란|새우,Egg|Shrimp,계란와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Egg and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,350,25,20,18,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
28,참치캔 구이,Grilled Canned tuna,메인,보통,참치캔|브로콜리|우유|마늘,Canned tuna|Broccoli|Milk|Garlic,참치캔와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Canned tuna and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,420,35,16,20,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
29,양파 전,Pancake Onion,메인,보통,양파|버터,Onion|Butter,양파와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Onion and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,300,8,8,35,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
30,쌀 볶음,Stir-fry Rice,메인,보통,쌀|브로콜리|밀가루|버섯,Rice|Broccoli|Flour|Mushroom,쌀와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Rice and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,520,12,10,85,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
31,닭가슴살 샐러드,Salad Chicken breast,메인,보통,닭가슴살|브로콜리|밀가루|피망,Chicken breast|Broccoli|Flour|Bell pepper,닭가슴살와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Chicken breast and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,420,35,16,20,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
32,고구마 조림,Braised Sweet potato,메인,보통,고구마|밀가루,Sweet potato|Flour,고구마와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Sweet potato and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,520,12,10,85,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
33,두부 샐러드,Salad Tofu,메인,보통,두부|우유|버터|대파,Tofu|Milk|Butter|Green onion,두부와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Tofu and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,350,25,20,18,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
34,고구마 구이,Grilled Sweet potato,메인,보통,고구마|피망|대파,Sweet potato|Bell pepper|Green onion,고구마와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Sweet potato and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,520,12,10,85,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
35,애호박 찜,Steamed Zucchini,메인,보통,애호박|마늘,Zucchini|Garlic,애호박와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Zucchini and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,300,8,8,35,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
36,계란 덮밥,Rice bowl Egg,메인,보통,계란|밀가루,Egg|Flour,계란와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Egg and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,350,25,20,18,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
37,소고기 조림,Braised Beef,메인,보통,소고기|버터|밀가루|버섯,Beef|Butter|Flour|Mushroom,소고기와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Beef and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,420,35,16,20,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
38,가지 전,Pancake Eggplant,메인,보통,가지|치즈|피망|밀가루,Eggplant|Cheese|Bell pepper|Flour,가지와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Eggplant and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,300,8,8,35,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
39,쌀 찜,Steamed Rice,메인,보통,쌀|치즈|우유,Rice|Cheese|Milk,쌀와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Rice and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,520,12,10,85,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
40,가지 덮밥,Rice bowl Eggplant,메인,보통,가지|마늘|피망,Eggplant|Garlic|Bell pepper,가지와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Eggplant and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,300,8,8,35,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
41,닭가슴살 찜,Steamed Chicken breast,메인,보통,닭가슴살|대파|대두,Chicken breast|Green onion|Soy,닭가슴살와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Chicken breast and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,420,35,16,20,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
42,돼지고기 샐러드,Salad Pork,메인,보통,돼지고기|피망|대파|마늘,Pork|Bell pepper|Green onion|Garlic,돼지고기와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Pork and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,420,35,16,20,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
43,돼지고기 볶음,Stir-fry Pork,메인,보통,돼지고기|대파,Pork|Green onion,돼지고기와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Pork and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,420,35,16,20,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
44,닭가슴살 수프,Soup Chicken breast,메인,보통,닭가슴살|피망|브로콜리|버터,Chicken breast|Bell pepper|Broccoli|Butter,닭가슴살와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Chicken breast and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,420,35,16,20,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
45,가지 찜,Steamed Eggplant,메인,보통,가지|대두,Eggplant|Soy,가지와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Eggplant and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,300,8,8,35,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
46,당근 파스타,Pasta Carrot,메인,보통,당근|버터,Carrot|Butter,당근와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Carrot and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,300,8,8,35,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
47,돼지고기 비빔,Mixed Pork,메인,보통,돼지고기|마늘,Pork|Garlic,돼지고기와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Pork and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,420,35,16,20,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
48,고구마 비빔,Mixed Sweet potato,메인,보통,고구마|치즈|버터,Sweet potato|Cheese|Butter,고구마와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Sweet potato and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,520,12,10,85,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
49,참치캔 볶음,Stir-fry Canned tuna,메인,보통,참치캔|새우|마늘|대파,Canned tuna|Shrimp|Garlic|Green onion,참치캔와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Canned tuna and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,420,35,16,20,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
50,쌀 비빔,Mixed Rice,메인,보통,쌀|마늘|피망,Rice|Garlic|Bell pepper,쌀와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Rice and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,520,12,10,85,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
51,돼지고기 찜,Steamed Pork,메인,보통,돼지고기|버터|버섯|치즈,Pork|Butter|Mushroom|Cheese,돼지고기와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Pork and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,420,35,16,20,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
52,감자 조림,Braised Potato,메인,보통,감자|피망|마늘,Potato|Bell pepper|Garlic,감자와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Potato and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,520,12,10,85,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
53,김치 덮밥,Rice bowl Kimchi,메인,보통,김치|마늘|대파|밀가루,Kimchi|Garlic|Green onion|Flour,김치와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Kimchi and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,300,8,8,35,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
54,닭가슴살 볶음,Stir-fry Chicken breast,메인,보통,닭가슴살|버섯,Chicken breast|Mushroom,닭가슴살와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Chicken breast and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,420,35,16,20,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
55,당근 비빔,Mixed Carrot,메인,보통,당근|피망|치즈,Carrot|Bell pepper|Cheese,당근와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Carrot and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,300,8,8,35,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
56,소고기 볶음,Stir-fry Beef,메인,보통,소고기|대파|치즈,Beef|Green onion|Cheese,소고기와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Beef and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,420,35,16,20,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
57,김치 전,Pancake Kimchi,메인,보통,김치|브로콜리|치즈,Kimchi|Broccoli|Cheese,김치와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Kimchi and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,300,8,8,35,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
58,참치캔 샐러드,Salad Canned tuna,메인,보통,참치캔|버터|버섯|피망,Canned tuna|Butter|Mushroom|Bell pepper,참치캔와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Canned tuna and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,420,35,16,20,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
59,돼지고기 전,Pancake Pork,메인,보통,돼지고기|대두,Pork|Soy,돼지고기와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Pork and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,420,35,16,20,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
60,두부 샐러드,Salad Tofu,메인,보통,두부|우유|대파|대두,Tofu|Milk|Green onion|Soy,두부와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Tofu and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,350,25,20,18,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
61,당근 파스타,Pasta Carrot,메인,보통,당근|밀가루|버섯|대파,Carrot|Flour|Mushroom|Green onion,당근와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Carrot and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,300,8,8,35,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
62,닭가슴살 샐러드,Salad Chicken breast,메인,보통,닭가슴살|마늘,Chicken breast|Garlic,닭가슴살와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Chicken breast and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,420,35,16,20,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
63,닭가슴살 파스타,Pasta Chicken breast,메인,보통,닭가슴살|피망|치즈|마늘,Chicken breast|Bell pepper|Cheese|Garlic,닭가슴살와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Chicken breast and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,420,35,16,20,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
64,돼지고기 파스타,Pasta Pork,메인,보통,돼지고기|대두|대파|마늘,Pork|Soy|Green onion|Garlic,돼지고기와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Pork and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,420,35,16,20,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
65,참치캔 비빔,Mixed Canned tuna,메인,보통,참치캔|대두|밀가루|우유,Canned tuna|Soy|Flour|Milk,참치캔와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Canned tuna and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,420,35,16,20,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
66,돼지고기 전,Pancake Pork,메인,보통,돼지고기|우유|피망|브로콜리,Pork|Milk|Bell pepper|Broccoli,돼지고기와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Pork and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,420,35,16,20,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
67,소고기 비빔,Mixed Beef,메인,보통,소고기|새우|브로콜리|버터,Beef|Shrimp|Broccoli|Butter,소고기와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Beef and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,420,35,16,20,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
68,김치 수프,Soup Kimchi,메인,보통,김치|대파,Kimchi|Green onion,김치와 재료를 손질한다.|달군 팬에 기름을 두른다.|센불에 볶다가 간을 맞춘다.|접시에 담아낸다.,Prep Kimchi and other ingredients.|Heat oil in a pan.|Stir-fry on high and season.|Plate and serve.,300,8,8,35,단백질 보충과 포만감에 도움.,Helps with protein intake and satiety.
